 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
968031781039450187,https://www.airbnb.com/rooms/968031781039450187,142202943,Entire home,39.7569585695,-105.0147142022,2,2.0,6,5.0,1,297.0,21.0,2487.0,47.0,1,17.5,2.0,Moderate,Large,No,No,Yes,No,No,No,1,646
968037970207502638,https://www.airbnb.com/rooms/968037970207502638,142202943,Entire condo,39.7574641406,-105.0163035014,2,2.0,4,4.4,5,304.0,49.0,3663.0,39.0,1,39.0,4.0,Moderate,Large,No,No,Yes,No,No,No,1,647
968038033390597584,https://www.airbnb.com/rooms/968038033390597584,142202943,Entire condo,39.75734,-105.01597,2,2.0,9,-NA,0,322.5,39.0,5703.0,51.0,1,11.0,2.0,Moderate,Large,No,No,Yes,No,No,No,1,648
968038054281863973,https://www.airbnb.com/rooms/968038054281863973,142202943,Entire condo,39.75905,-105.01604,2,2.0,6,5.0,3,314.0,47.0,6288.0,53.0,1,28.0,4.0,Moderate,Large,No,No,Yes,No,No,No,1,649
968038162835562499,https://www.airbnb.com/rooms/968038162835562499,142202943,Entire condo,39.7589060937,-105.0149893612,2,2.0,6,5.0,1,347.0,43.0,5138.0,42.0,1,35.0,3.0,Moderate,Large,No,No,Yes,No,No,No,1,650
968038184027536296,https://www.airbnb.com/rooms/968038184027536296,142202943,Entire condo,39.75928,-105.01494,2,2.0,9,-NA,0,330.5,26.0,2660.0,43.0,1,34.0,2.0,Moderate,Large,No,No,Yes,No,No,No,1,651
968038205515043309,https://www.airbnb.com/rooms/968038205515043309,4665978,Entire condo,39.7593818976,-105.0162071434,2,2.0,6,-Unknown,1,313.0,43.0,4902.0,42.0,1,21.0,2.5,Moderate,Large,No,No,Yes,No,No,No,1,652
968073733820013070,https://www.airbnb.com/rooms/968073733820013070,142202943,Entire condo,39.75757,-105.0148,2,2.0,6,-NA,0,303.0,38.0,4873.0,53.0,1,15.5,3.5,Moderate,Large,No,No,Yes,No,No,No,1,653
976295513083609105,https://www.airbnb.com/rooms/976295513083609105,631373,Entire home,39.7792535335,-105.0128531116,2,1.0,4,-NA,0,150.0,63.0,2500.0,27.0,4,90.0,3.0,None,Individual,No,No,Yes,No,No,No,1,654
981978513237170646,https://www.airbnb.com/rooms/981978513237170646,283022459,Entire home,39.7595437279,-105.0365740573,2,2.0,6,5.0,4,251.0,42.0,2129.0,26.0,2,15.0,5.5,High,Small,No,No,Yes,Yes,No,No,1,655
2975710,https://www.airbnb.com/rooms/2975710,15178224,Entire home,39.75936,-105.04792,3,2.0,6,4.75,32,184.0,90.0,32927.0,271.0,30,105.0,16.0,Moderate,Individual,No,No,Yes,Yes,No,No,0,656
5717755,https://www.airbnb.com/rooms/5717755,29643692,Entire home,39.75182,-105.02219,3,4.0,6,4.96,72,395.0,69.0,16041.0,128.0,29,104.0,32.0,None,Small,No,No,Yes,No,No,No,0,657
8951180,https://www.airbnb.com/rooms/8951180,976565,Entire bungalow,39.75513,-105.02931,3,1.0,6,4.76,21,174.0,86.0,17463.0,190.0,29,56.0,31.0,Moderate,Individual,No,No,Yes,Yes,No,No,0,658
