 ListingID,Link,Host ID,Listing Type,lat,lng,Bedrooms,Bathrooms,Base Guests,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Booking Window,LOS,Dynamic Pricing,Professionally Managed,Beachfront,Hottub,Kitchen,Pets Allowed,Pool,EV Charger,new_listing,id
9407559,https://www.airbnb.com/rooms/9407559,1642965,Entire rental unit,43.85948,-70.08568,1,1.0,4,4.91,182,110.0,94.0,19922.0,200.0,2,54.0,2.0,None,Small,No,No,Yes,Yes,No,No,0,167
9714330,https://www.airbnb.com/rooms/9714330,50150056,Entire rental unit,43.65012,-70.26593,1,1.0,2,4.87,703,149.0,79.0,39403.0,345.0,1,15.0,2.0,Moderate,Small,No,No,No,No,No,No,0,168
9835444,https://www.airbnb.com/rooms/9835444,6475044,Entire rental unit,43.65481,-70.26905,1,1.0,6,4.77,297,120.0,69.0,42694.0,320.0,1,24.0,2.0,Low,Small,No,No,Yes,No,No,No,0,169
10098888,https://www.airbnb.com/rooms/10098888,7830771,Entire home,43.69261,-70.28562,1,1.0,4,4.5,8,135.0,16.0,4995.0,235.0,1,0.0,37.0,None,Individual,No,No,Yes,No,No,No,0,170
10327096,https://www.airbnb.com/rooms/10327096,52959037,Entire rental unit,43.639629,-70.232185,1,1.0,2,4.89,196,155.0,87.0,33185.0,241.0,3,72.5,3.5,Low,Small,No,No,Yes,No,No,No,0,171
10499542,https://www.airbnb.com/rooms/10499542,37997026,Entire rental unit,43.38023,-70.46512,1,1.0,4,4.91,173,406.0,76.0,37633.0,159.0,2,53.0,3.0,Low,Moderate,No,No,Yes,No,No,No,0,172
10517171,https://www.airbnb.com/rooms/10517171,214679,Entire cottage,43.68936,-70.30165,1,1.0,2,4.89,447,125.0,84.0,37490.0,359.0,2,21.0,2.0,Moderate,Individual,No,No,Yes,No,No,No,0,173
10613707,https://www.airbnb.com/rooms/10613707,54769774,Entire guest suite,43.68239,-70.27877,1,1.0,3,4.96,49,350.0,77.0,78575.0,302.0,3,38.0,5.0,None,Individual,No,No,Yes,No,No,No,0,174
10809241,https://www.airbnb.com/rooms/10809241,117484912,Entire rental unit,43.6487388611,-70.2611618042,1,1.0,2,4.94,604,93.0,69.0,40219.0,348.0,30,49.0,2.0,None,Moderate,No,No,Yes,No,No,No,0,175
10861653,https://www.airbnb.com/rooms/10861653,56264618,Entire rental unit,43.66396,-70.25364,1,1.0,3,4.81,100,260.0,60.0,16792.0,119.0,2,56.0,2.0,None,Small,No,No,Yes,Yes,No,No,1,176
11006348,https://www.airbnb.com/rooms/11006348,57055612,Entire rental unit,43.67277,-70.28202,1,1.0,4,4.66,167,95.0,69.0,36679.0,349.0,2,80.0,2.0,Moderate,Small,No,No,Yes,Yes,No,No,0,177
11056003,https://www.airbnb.com/rooms/11056003,57382448,Entire rental unit,43.65316,-70.27442,1,1.0,2,4.81,891,296.0,88.0,45857.0,338.0,1,15.0,2.0,High,Moderate,No,No,Yes,No,No,No,0,178
11183023,https://www.airbnb.com/rooms/11183023,19595356,Entire rental unit,43.65611,-70.27169,1,1.0,2,4.97,282,180.0,62.0,38252.0,291.0,3,96.0,4.0,None,Individual,No,No,Yes,No,No,No,0,179
11760635,https://www.airbnb.com/rooms/11760635,31651347,Entire condo,43.67007,-70.25682,1,1.0,2,4.95,75,299.0,89.0,57279.0,259.0,3,18.0,4.0,Low,Individual,No,No,Yes,No,No,No,0,180
12091168,https://www.airbnb.com/rooms/12091168,26723287,Entire condo,43.65541,-70.26619,1,1.0,4,4.76,584,150.0,66.0,40215.0,353.0,1,60.0,2.0,Low,Small,No,No,Yes,No,No,No,0,181
12379854,https://www.airbnb.com/rooms/12379854,57382448,Entire rental unit,43.65392,-70.27273,1,1.0,2,4.85,700,296.0,86.0,49104.0,337.0,1,14.0,2.0,High,Moderate,No,No,Yes,No,No,No,0,182
12511880,https://www.airbnb.com/rooms/12511880,67758219,Entire condo,43.51158,-70.37514,1,1.0,4,4.8,91,175.0,64.0,52480.0,364.0,2,81.0,3.0,None,Small,Yes,No,Yes,No,No,No,0,183
12589423,https://www.airbnb.com/rooms/12589423,68266657,Entire rental unit,43.7383995056,-70.2048873901,1,1.0,2,4.93,15,218.0,31.0,39706.0,365.0,4,22.0,6.0,None,Moderate,No,No,Yes,No,No,No,0,184
12597803,https://www.airbnb.com/rooms/12597803,68314364,Entire home,43.35794,-70.48106,1,1.0,4,4.94,138,300.0,91.0,59054.0,208.0,3,10.5,3.0,None,Small,No,No,Yes,No,No,No,0,185
